Category,Item,Qty,Unit Cost,Total,Vendor,Priority,Status,Note
vehicle_platform,ladder_rack,1,220,220,Harbor Freight or equivalent,1,quoted,"Secure transport for 24 ft ladder"
vehicle_platform,tie_downs_and_straps,4,12,48,Local hardware,1,planned,"DOT-safe securing"
ladders_and_access,ladder_24ft_fiberglass,1,260,260,Werner,1,quoted,"Primary roofline access"
ladders_and_access,ladder_6ft_step,1,110,110,Werner,2,planned,"Porches and low eaves"
ladders_and_access,ladder_levelers_and_feet,1,75,75,Werner/PIAA,2,planned,"Stability on uneven ground"
safety_kit,harness_and_lanyard,1,180,180,3M DBI-SALA,1,quoted,"Fall protection"
safety_kit,roof_anchor_temporary,2,45,90,Guardian,1,planned,"Install and remove same day"
safety_kit,hi_vis_vests_gloves_helmets,2,35,70,Local PPE,1,planned,"Crew safety and visibility"
tools_core,cordless_drill_driver_set,1,180,180,DeWalt/Milwaukee,1,quoted,"Bit kit included"
tools_core,extension_cords_outdoor,4,22,88,Outdoor-rated,1,planned,"12–14 gauge"
tools_core,clip_bins_and_labeling,6,9,54,Home Depot,2,planned,"Faster loadout and QC"
inventory_kits,tier1_60ft_led_c9_warm_white,3,240,720,Pro-grade supplier,1,planned,"Lights, clips, timers per kit"
inventory_kits,tier2_80ft_led_c9_warm_white,3,320,960,Pro-grade supplier,1,planned,"Most popular"
inventory_kits,tier3_120ft_led_c9_warm_white,1,520,520,Pro-grade supplier,2,planned,"Large estates; stock 1 to start"
crew_and_flow,crew_startup_float,1,400,400,Payroll buffer,1,planned,"First two weeks cushion"
crew_and_flow,fuel_buffer,1,200,200,Fuel,1,planned,"Jobs radius Princeton–McKinney–Prosper"
crew_and_flow,routing_app_subscription,1,20,20,Route4Me or similar,2,planned,"Reduce windshield time"
